,index,Route,SENS,PR_FIN,LON_BEGIN,LAT_BEGIN,LON_END,LAT_END,X,Y,Estimated pr,Estimation delta
0,100,A0001,1,101,2.77180813,49.70093175,2.77180551,49.70102123,2.77180682,49.70097649,101,3.200806925904272
1,200,A0001,1,102,2.77238713,49.70989784,2.77241122,49.70998625,2.772399175,49.709942045,102,6.156974989459201
2,499,A0001,1,104,2.78446695,49.73558558,2.78450238,49.73567287,2.784484665,49.735629225,105,7.6693637435301
3,599,A0001,1,105,2.78796644,49.74428026,2.78800162,49.74436751,2.78798403,49.744323885,106,12.586727943275328
4,678,A0001,1,110,2.80256984,49.78801722,2.80259671,49.78810601,2.802583275,49.788061615000004,111,25.086566098585887
5,1081,A0001,1,115,2.82312128,49.82144706,2.82316346,49.8215324,2.8231423700000002,49.821489729999996,115,8.175175442578263
6,1281,A0001,1,117,2.83029689,49.83877976,2.83031367,49.83886877,2.83030528,49.838824265,117,5.661053266395682
7,1381,A0001,1,117,2.83182742,49.84771771,2.83184261,49.84780751,2.8318350150000002,49.847762610000004,118,15.30491039899601
8,1479,A0001,1,124,2.85021033,49.90863646,2.85022127,49.90872673,2.8502158,49.908681595,125,10.292200450495555
9,1582,A0001,1,125,2.85112461,49.91786959,2.85113344,49.91795914,2.8511290249999997,49.917914365,126,4.479788065170147
10,1980,A0001,1,129,2.85391374,49.95358507,2.8539272,49.95367536,2.8539204700000003,49.953630215000004,130,8.447469483831767
11,2083,A0001,1,130,2.85679786,49.96252938,2.8568476,49.96261262,2.85682273,49.962571,131,12.74725989241849
12,2285,A0001,1,133,2.8669982,49.97930428,2.86704408,49.97938934,2.86702114,49.979346809999996,133,4.300970304713726
13,2386,A0001,1,134,2.87161039,49.98787045,2.87165655,49.98795612,2.87163347,49.987913285000005,134,10.464752752925344
14,2486,A0001,1,135,2.87513857,49.99653879,2.87515463,49.99662729,2.8751466,49.996583040000004,135,7.619579519807045
15,2586,A0001,1,136,2.87614562,50.00549,2.87616304,50.00557846,2.87615433,50.00553423,136,2.8395699358930098
16,2685,A0001,1,137,2.87981226,50.01405047,2.87986166,50.01413502,2.87983696,50.014092745,137,2.5761130579882296
17,2785,A0001,1,137,2.88401096,50.02260396,2.88403603,50.02269276,2.884023495,50.02264836,138,4.429533150076728
18,2886,A0001,1,139,2.88425124,50.03163149,2.88423006,50.03172086,2.88424065,50.031676175,139,2.44929771664183
19,2986,A0001,1,140,2.88014017,50.04019652,2.88008763,50.04027964,2.8801139,50.04023808,140,9.378406977418013
20,3086,A0001,1,141,2.87583237,50.04873467,2.87580782,50.04882319,2.875820095,50.04877893,141,3.352506343052097
21,3185,A0001,1,141,2.8740625,50.05756356,2.87404607,50.05765311,2.8740542849999997,50.057608335,142,2.264325851789017
22,3287,A0001,1,143,2.87241079,50.06667295,2.8723952,50.06676183,2.872402995,50.066717389999994,143,2.425214800859897
23,3386,A0001,1,144,2.87081033,50.07550527,2.87079456,50.07559291,2.870802445,50.075549089999996,144,3.3742969923228063
24,3486,A0001,1,145,2.8703559,50.0844709,2.87036468,50.08456038,2.87036029,50.08451564,145,6.066663634269881
25,3586,A0001,1,146,2.8715377,50.09342025,2.87154527,50.09350985,2.871541485,50.09346505,146,0.8989414157116585
26,3686,A0001,1,147,2.87170186,50.10240947,2.8717025,50.10249976,2.8717021799999998,50.102454615,147,2.6999988547176414
27,3786,A0001,1,147,2.87174424,50.11139895,2.87174463,50.11148827,2.871744435,50.11144361,148,1.9345259270333892
28,3886,A0001,1,148,2.87177588,50.12038465,2.87177641,50.12047539,2.871776145,50.12043002,149,3.1207753010560038
29,3986,A0001,1,149,2.87182288,50.1293766,2.87182412,50.12946646,2.8718234999999996,50.12942153,150,4.38771083449484
30,4086,A0001,1,150,2.87222552,50.13835843,2.87223142,50.13844807,2.87222847,50.138403249999996,151,4.184974410643526
31,4186,A0001,1,151,2.87282757,50.14733484,2.87283387,50.14742459,2.87283072,50.147379715,152,5.302601297864239
32,4286,A0001,1,152,2.87343377,50.15630785,2.87343985,50.15639725,2.8734368100000003,50.156352549999994,153,3.5415398712492667
33,4386,A0001,1,153,2.87404468,50.16528568,2.87405091,50.16537588,2.874047795,50.16533078,154,2.155225279617756
34,4486,A0001,1,154,2.87462677,50.17426379,2.87463115,50.1743542,2.87462896,50.174308995000004,155,7.335233068233306
35,4586,A0001,1,155,2.87426577,50.18324375,2.8742507,50.1833332,2.874258235,50.183288475,156,2.830973406314692
36,4686,A0001,1,156,2.87159493,50.19206707,2.87156108,50.19215383,2.871578005,50.19211045,157,3.3114982922917795
37,4786,A0001,1,157,2.86798081,50.20073101,2.86794456,50.20081783,2.867962685,50.20077442,158,5.9606194754056885
38,4986,A0001,1,159,2.86069019,50.2180812,2.86065322,50.21816789,2.860671705,50.218124544999995,160,9.867679826664187
39,5086,A0001,1,160,2.85713196,50.22677606,2.85709988,50.2268635,2.85711592,50.22681978,161,12.289332418973817
40,5286,A0001,1,162,2.85546242,50.24461386,2.85548245,50.24470333,2.855472435,50.244658595000004,163,6.708289321223581
41,5386,A0001,1,163,2.85873954,50.25334459,2.85878373,50.25342908,2.858761635,50.253386835,164,4.518743863302212
42,5486,A0001,1,164,2.86376769,50.26171341,2.86382031,50.26179668,2.863794,50.261755045,165,4.333199626973007
43,5690,A0001,1,166,2.87446451,50.27871575,2.87451699,50.27879967,2.87449075,50.27875771,167,10.380890249569807
44,5786,A0001,1,167,2.87951842,50.28672792,2.87957158,50.28681205,2.8795450000000002,50.286769985,168,2.950116384236873
45,5882,A0001,1,168,2.88456979,50.29473676,2.88462285,50.29482027,2.88459632,50.294778515000004,169,12.007468496323197
46,5985,A0001,1,169,2.88998224,50.30331874,2.89003467,50.30340195,2.8900084550000003,50.303360345,170,13.675241462956754
47,6085,A0001,1,170,2.89634337,50.31129005,2.89642338,50.31136298,2.896383375,50.311326515,171,2.8962255166815414
48,6189,A0001,1,171,2.90494289,50.3188432,2.90502603,50.31891602,2.90498446,50.31887961,172,10.066198653164191
49,6385,A0001,1,173,2.92105192,50.33313339,2.92113186,50.33320657,2.92109189,50.33316998,174,6.869689794640446
50,6485,A0001,1,174,2.9294471,50.34031914,2.92954234,50.34038386,2.92949472,50.3403515,175,6.911920964402609
51,6585,A0001,1,175,2.93973144,50.3464411,2.93983489,50.34650129,2.939783165,50.346471195,176,5.134403649101445
52,6685,A0001,1,176,2.95011847,50.35249696,2.95022277,50.35255801,2.9501706199999997,50.352527485,177,11.553868874611263
53,6785,A0001,1,177,2.95959911,50.35911387,2.9596836,50.35918609,2.959641355,50.35914998,178,11.224108793185883
54,6885,A0001,1,178,2.96686923,50.36679934,2.96693254,50.36687951,2.9669008850000003,50.366839424999995,179,6.816388910305283
55,6985,A0001,1,179,2.97323023,50.37479902,2.97329453,50.37487923,2.97326238,50.374839124999994,180,17.160020154246677
56,7085,A0001,1,180,2.97941002,50.38287121,2.97946022,50.38295502,2.9794351199999998,50.382913114999994,181,11.168589551882052
57,7285,A0001,1,182,2.98341681,50.40058527,2.98342823,50.40067439,2.98342252,50.40062983,183,14.807935305409343
58,7385,A0001,1,183,2.98453487,50.4095498,2.9845461,50.40963845,2.984540485,50.409594125,184,11.722336865201237
59,7587,A0001,1,186,2.98292383,50.42740593,2.98287565,50.42749036,2.9828997399999997,50.427448145,186,10.942237969958418
60,7696,A0001,1,18,2.52813589,49.00889275,2.5281797,49.00897781,2.5281577950000003,49.00893528,19,8.951633118573888
61,7996,A0001,1,21,2.54074563,49.03454719,2.54077772,49.0346355,2.5407616749999997,49.034591344999995,22,14.204492471830774
